                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

      e      0      b      1      0     12      0      1      0     12     15
      f      0   dc12      1      0     12     15      0      0     12     15
     10      0   bc02      0      0     12     15      0      0      2   d81c
      2      0   d816      0      0      2   d81c      1      2     16      2
      3      0   b813      1      2     16      2      2      0     13      0
      4      0   c011      2      0     13      0      1      2     11   dc1b
      5      0   9814      1      2     11   dc1b      1      1     14      9
      6      0   dc16      1      1     14      9      0      0     16      2
      7      0   d812      0      0     16      2      1      0     12     15
      8      0   a415      1      0     12     15      1      0     15      9
      9      0   dc17      1      0     15      9      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12     15
      e      0      b      1      0     12      0      1      0     12     15
      f      0   dc12      1      0     12     15      0      0     12     15
     10      0   bc02      0      0     12     15      0      0      2   d81c
      2      0   d816      0      0      2   d81c      1      1     16      2
      3      0   b813      1      1     16      2      2      0     13      0
      4      0   c011      2      0     13      0      1      1     11   dc1b
      5      0   9814      1      1     11   dc1b      1      0     14      9
      6      0   dc16      1      0     14      9      0      0     16      2
      7      0   d812      0      0     16      2      1      0     12     15
      8      0   a415      1      0     12     15      1      0     15      9
      9      0   dc17      1      0     15      9      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12     15
      e      0      b      1      0     12      0      1      0     12     15
      f      0   dc12      1      0     12     15      0      0     12     15
     10      0   bc02      0      0     12     15      0      0      2   d81c
      2      0   d816      0      0      2   d81c      1      0     16      2
      3      0   b813      1      0     16      2      2      1     13      0
      4      0   c011      2      1     13      0      1      0     11   dc1b
     11      0     18      1      0     11      0
